time,value
0,0.00877438
202.02,0.0117291
404.04,0.00909878
606.061,0.00879806
808.081,0.0115583
1010.1,0.00938971
1212.12,0.00879771
1414.14,0.0101759
1616.16,0.0405511
1818.18,1.64914e-257
2020.2,1.39522e-05
2222.22,0.00887209
2424.24,0.00968617
2626.26,0.0114453
2828.28,0.0205628
3030.3,0.00878447
3232.32,0
3434.34,3.32687e-61
3636.36,0.00248491
3838.38,0.00878434
4040.4,2.02399e-11
4242.42,0.0528979
4444.44,0.0164282
4646.46,0.0259706
4848.48,0.00877518
5050.51,6.7476e-132
5252.53,0.0275227
5454.55,0.00877525
5656.57,2.69952e-83
5858.59,0.00376119
6060.61,0.00915647
6262.63,0.00903996
6464.65,0.011316
6666.67,0.0105208
6868.69,0.0163366
7070.71,0.0120978
7272.73,0.0286267
7474.75,0.00878436
7676.77,0.0227271
7878.79,0.0118447
8080.81,0.00878975
8282.83,0.00917516
8484.85,0.013256
8686.87,8.34587e-151
8888.89,0.00877358
9090.91,0.00963376
9292.93,0.00880209
9494.95,0.014071
9696.97,2.0543e-74
9898.99,5.16925e-120
10101,0.0108331
10303,0.00950504
10505.1,1.92573e-191
10707.1,8.77843e-06
10909.1,0.00877787
11111.1,0.00887854
11313.1,0.0168815
11515.2,0.00882885
11717.2,0.0112481
11919.2,0.0287136
12121.2,0.0140684
12323.2,0.00890912
12525.3,0.0216022
12727.3,0.00878245
12929.3,0.0141187
13131.3,0.00877463
13333.3,6.69417e-06
13535.4,0.00891511
13737.4,0.0109631
13939.4,0
14141.4,4.32657e-20
14343.4,0.00334606
14545.5,0.0150785
14747.5,0.0173394
14949.5,0.0106251
15151.5,0.00877783
15353.5,1.85617e-37
15555.6,0
15757.6,0.0086722
15959.6,0.00890632
16161.6,0.0330491
16363.6,0.0145948
16565.7,4.284e-133
16767.7,0.0087737
16969.7,0.00879805
17171.7,9.68614e-56
17373.7,0.00956578
17575.8,0.0116308
17777.8,0.0088091
17979.8,0.00921471
18181.8,0.0344055
18383.8,0
18585.9,0
18787.9,0.00858808
18989.9,0.020972
19191.9,0.0087913
19393.9,0.00918219
19596,0.0121662
19798,6.71895e-302
20000,3.77195e-60
